id,org_id,module_name,enabled,config,enabled_at,disabled_at,created_at,updated_at
455f3e52-083d-4b7f-8bc0-d0e3daee6c8c,c38cbdac-1e6b-400f-93e0-08995356df1e,notifications,f,{},,,2026-02-14 04:28:36.23847+00,2026-02-14 04:28:36.23847+00
6a292f37-2e32-49c3-9013-79accff41ac5,c38cbdac-1e6b-400f-93e0-08995356df1e,billing,f,{},,,2026-02-14 04:28:36.23847+00,2026-02-14 04:28:36.23847+00
247a1b9f-64fd-4ad2-89d6-700ed71c1e1d,c38cbdac-1e6b-400f-93e0-08995356df1e,file_management,f,{},,,2026-02-14 04:28:36.23847+00,2026-02-14 04:28:36.23847+00
7da6bb21-7ec2-4cb8-be65-aba0754ff91a,c38cbdac-1e6b-400f-93e0-08995356df1e,audit_logging,f,{},,,2026-02-14 04:28:36.23847+00,2026-02-14 04:28:36.23847+00
d3b2d6cf-7e7c-4604-9fab-21eebefd6d13,c38cbdac-1e6b-400f-93e0-08995356df1e,analytics,f,{},,,2026-02-14 04:28:36.23847+00,2026-02-14 04:28:36.23847+00
4a6c7fa9-edb3-4aa3-93ac-8236978ec695,5a9b3161-a138-47b2-980b-8bb5874cec5d,notifications,f,{},,,2026-02-14 04:29:10.643077+00,2026-02-14 04:29:10.643077+00
e2a1647c-8c13-4d3b-8f2d-f72d83dc65a4,5a9b3161-a138-47b2-980b-8bb5874cec5d,billing,f,{},,,2026-02-14 04:29:10.643077+00,2026-02-14 04:29:10.643077+00
1d6e9574-c710-4a6c-939a-f25128daf070,5a9b3161-a138-47b2-980b-8bb5874cec5d,file_management,f,{},,,2026-02-14 04:29:10.643077+00,2026-02-14 04:29:10.643077+00
c0dc3246-f5b8-48e5-8ae0-31ec7f20b825,5a9b3161-a138-47b2-980b-8bb5874cec5d,audit_logging,f,{},,,2026-02-14 04:29:10.643077+00,2026-02-14 04:29:10.643077+00
192121d1-bf69-4f70-b7df-373c07f8afab,5a9b3161-a138-47b2-980b-8bb5874cec5d,analytics,f,{},,,2026-02-14 04:29:10.643077+00,2026-02-14 04:29:10.643077+00
236df3ad-251f-4bf4-9a93-eed0c315e314,f13c1301-7373-4439-96d1-ef0f8535832f,notifications,f,{},,,2026-02-14 04:34:02.04404+00,2026-02-14 04:34:02.04404+00
c3112ff0-863c-48e8-bb17-663718cb321f,f13c1301-7373-4439-96d1-ef0f8535832f,billing,f,{},,,2026-02-14 04:34:02.04404+00,2026-02-14 04:34:02.04404+00
a6e093ee-5a2b-47bf-a067-fa28d187f6dc,f13c1301-7373-4439-96d1-ef0f8535832f,file_management,f,{},,,2026-02-14 04:34:02.04404+00,2026-02-14 04:34:02.04404+00
